,CATEGORY,PARENT_CATEGORY,BRAND,OFFER,RETAILER,OFFER_PREPROCESSED
483,sports drinks,sports drinks enhanced waters,gatorade,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",nan,gatorlyte or gatorade fit single serve bottle select varieties buy 2
484,sports drinks,sports drinks enhanced waters,gatorade,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",fred meyer,gatorade fast twitch 12 ounce single serve buy 2 at kroger
485,sports drinks,sports drinks enhanced waters,gatorade,"GATORADE® Fast Twitch®, 12-ounce single serve",nan,gatorade fast twitch 12 ounce single serve
486,sports drinks,sports drinks enhanced waters,gatorade,"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",dillons grocery,gatorade fast twitch 12 ounce single serve at kroger
487,sports drinks,sports drinks enhanced waters,gatorade,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",nan,gatorlyte or gatorade fit single serve bottle select varieties
488,sports drinks,sports drinks enhanced waters,gatorade,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",food4less,gatorade fast twitch 12 ounce single serve buy 2 at kroger
489,medicines treatments,health wellness,gatorade,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",amazon,gatorade fast twitch 12 ounce 12 pack at amazon storefront
490,medicines treatments,health wellness,gatorade,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",nan,gatorlyte or gatorade fit single serve bottle select varieties buy 2
491,medicines treatments,health wellness,gatorade,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",fred meyer,gatorade fast twitch 12 ounce single serve buy 2 at kroger
492,medicines treatments,health wellness,gatorade,"GATORADE® Fast Twitch®, 12-ounce single serve",nan,gatorade fast twitch 12 ounce single serve
493,medicines treatments,health wellness,gatorade,"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",dillons grocery,gatorade fast twitch 12 ounce single serve at kroger
494,medicines treatments,health wellness,gatorade,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",nan,gatorlyte or gatorade fit single serve bottle select varieties
495,medicines treatments,health wellness,gatorade,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",food4less,gatorade fast twitch 12 ounce single serve buy 2 at kroger
496,meal replacement beverages,beverages,evolve,"EVOLVE® Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods",whole foods market,evolve plant based protein shake 4 count select varieties at whole foods
497,carbonated soft drinks,beverages,evolve,"EVOLVE® Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods",whole foods market,evolve plant based protein shake 4 count select varieties at whole foods
498,frozen turkey,frozen meat,evolve,"EVOLVE® Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods",whole foods market,evolve plant based protein shake 4 count select varieties at whole foods
499,frozen meals,frozen,michael angelos,Michael Angelo's® Sauce at Walmart,walmart,michael angelos sauce at walmart
500,sauces marinades,pantry,michael angelos,Michael Angelo's® Sauce at Walmart,walmart,michael angelos sauce at walmart
501,frozen meals,frozen,gortons,"Gorton's, at select retailers",shop rite,gortons at select retailers
502,frozen meals,frozen,gortons,"Gorton's Air Fried Butterfly Shrimp, at Walmart",walmart,gortons air fried butterfly shrimp at walmart
503,frozen meals,frozen,gortons,"Gorton's, at select retailers",stop shop,gortons at select retailers
504,frozen meals,frozen,gortons,Gorton's at select retailers,stop shop,gortons at select retailers
505,frozen meals,frozen,gortons,Gorton's at select retailers,walmart,gortons at select retailers
506,jerky dried meat,snacks,gortons,"Gorton's, at select retailers",shop rite,gortons at select retailers
507,jerky dried meat,snacks,gortons,"Gorton's Air Fried Butterfly Shrimp, at Walmart",walmart,gortons air fried butterfly shrimp at walmart
508,jerky dried meat,snacks,gortons,"Gorton's, at select retailers",stop shop,gortons at select retailers
509,jerky dried meat,snacks,gortons,Gorton's at select retailers,stop shop,gortons at select retailers
510,jerky dried meat,snacks,gortons,Gorton's at select retailers,walmart,gortons at select retailers
511,packaged meat,pantry,gortons,"Gorton's, at select retailers",shop rite,gortons at select retailers
512,packaged meat,pantry,gortons,"Gorton's Air Fried Butterfly Shrimp, at Walmart",walmart,gortons air fried butterfly shrimp at walmart
513,packaged meat,pantry,gortons,"Gorton's, at select retailers",stop shop,gortons at select retailers
514,packaged meat,pantry,gortons,Gorton's at select retailers,stop shop,gortons at select retailers
515,packaged meat,pantry,gortons,Gorton's at select retailers,walmart,gortons at select retailers
516,frozen seafood,frozen meat,gortons,"Gorton's, at select retailers",shop rite,gortons at select retailers
517,frozen seafood,frozen meat,gortons,"Gorton's Air Fried Butterfly Shrimp, at Walmart",walmart,gortons air fried butterfly shrimp at walmart
518,frozen seafood,frozen meat,gortons,"Gorton's, at select retailers",stop shop,gortons at select retailers
519,frozen seafood,frozen meat,gortons,Gorton's at select retailers,stop shop,gortons at select retailers
520,frozen seafood,frozen meat,gortons,Gorton's at select retailers,walmart,gortons at select retailers
521,condiments,pantry,hellmanns best foods,Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,nan,hellmanns or best foods garlic aioli or spicy mayonnaise
522,condiments,pantry,hellmanns best foods,Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,nan,hellmanns or best foods and sargento cheese slices
523,condiments,pantry,hellmanns best foods,Hellmann's | Best Foods Vegan Dressing or Spread,nan,hellmanns best foods vegan dressing or spread
524,sauces marinades,pantry,hellmanns best foods,Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,nan,hellmanns or best foods garlic aioli or spicy mayonnaise
525,sauces marinades,pantry,hellmanns best foods,Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,nan,hellmanns or best foods and sargento cheese slices
526,sauces marinades,pantry,hellmanns best foods,Hellmann's | Best Foods Vegan Dressing or Spread,nan,hellmanns best foods vegan dressing or spread
527,dressings,pantry,hellmanns best foods,Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,nan,hellmanns or best foods garlic aioli or spicy mayonnaise
528,dressings,pantry,hellmanns best foods,Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,nan,hellmanns or best foods and sargento cheese slices
529,dressings,pantry,hellmanns best foods,Hellmann's | Best Foods Vegan Dressing or Spread,nan,hellmanns best foods vegan dressing or spread
530,condiments,pantry,sir kensingtons,"Sir Kensington's® Condiments, buy 2",nan,sir kensingtons condiments buy 2
531,condiments,pantry,sir kensingtons,Sir Kensington's® Condiments,nan,sir kensingtons condiments
532,sauces marinades,pantry,sir kensingtons,"Sir Kensington's® Condiments, buy 2",nan,sir kensingtons condiments buy 2
533,sauces marinades,pantry,sir kensingtons,Sir Kensington's® Condiments,nan,sir kensingtons condiments
534,dressings,pantry,sir kensingtons,"Sir Kensington's® Condiments, buy 2",nan,sir kensingtons condiments buy 2
535,dressings,pantry,sir kensingtons,Sir Kensington's® Condiments,nan,sir kensingtons condiments
536,packaged meals sides,pantry,back to the roots,"Back to the Roots Grow Seed Starting Pots OR Germination Trays, at Walmart or Target",target,back to the roots grow seed starting pots or germination trays at walmart or target
537,packaged meals sides,pantry,back to the roots,"Back to the Roots Soils, select varieties and sizes, at Walmart",walmart,back to the roots soils select varieties and sizes at walmart
538,packaged meals sides,pantry,back to the roots,"Back to the Roots Dry Plant Food, 5 pounds, at The Home Depot",the home depot,back to the roots dry plant food 5 pounds at the home depot
539,packaged meals sides,pantry,back to the roots,"Back to the Roots Garden Soil, 1 cubic foot, at Lowe's Home Improvement",lowes home improvement,back to the roots garden soil 1 cubic foot at lowes home improvement
540,packaged meals sides,pantry,back to the roots,"Back to the Roots Raised Bed Gardening Kit with Soil, Seeds and Plant Food, at Target",target,back to the roots raised bed gardening kit with soil seeds and plant food at target
541,packaged meals sides,pantry,back to the roots,Back to the Roots Microgreens Grow Kit OR Seed Refill at Walmart,walmart,back to the roots microgreens grow kit or seed refill at walmart
542,packaged meals sides,pantry,back to the roots,"Back to the Roots Soils, select varieties and sizes, at Lowes",lowes home improvement,back to the roots soils select varieties and sizes at lowes
543,packaged meals sides,pantry,back to the roots,"Back to the Roots Soils, select varieties, at Walmart or Lowes",lowes home improvement,back to the roots soils select varieties at walmart or lowes
544,packaged meals sides,pantry,back to the roots,Back to the Roots Grow Kits at Walmart or The Home Depot,walmart,back to the roots grow kits at walmart or the home depot
545,packaged meals sides,pantry,back to the roots,Back to the Roots Grow Hydroponic Grow Kit OR Refill Bundle at Walmart,walmart,back to the roots grow hydroponic grow kit or refill bundle at walmart
546,packaged meals sides,pantry,back to the roots,"Back to the Roots Seeds, at Walmart",walmart,back to the roots seeds at walmart
547,packaged meals sides,pantry,back to the roots,"Back to the Roots Organic Kits and Planters, at Target",target,back to the roots organic kits and planters at target
548,packaged meals sides,pantry,back to the roots,"Back to the Roots Potting Mix, 1 cubic foot, at Lowe's Home Improvement",lowes home improvement,back to the roots potting mix 1 cubic foot at lowes home improvement
549,packaged meals sides,pantry,back to the roots,"Back to the Roots Organic 3-In-1 Seed Starting Mix 12 quart, at Walmart or Target",target,back to the roots organic 3 in 1 seed starting mix 12 quart at walmart or target
550,packaged meals sides,pantry,back to the roots,"Back to the Roots Soils, select varieties, at Walmart",walmart,back to the roots soils select varieties at walmart
551,dips salsa,snacks,tostitos,Tostitos® Toppers™,nan,tostitos toppers
552,sauces marinades,pantry,tostitos,Tostitos® Toppers™,nan,tostitos toppers
553,chips,snacks,tostitos,Tostitos® Toppers™,nan,tostitos toppers
554,crackers,snacks,beechnut,"Beech-Nut snacks, select varieties",nan,beech nut snacks select varieties
555,crackers,snacks,beechnut,"Beech-Nut pouches, buy 8",nan,beech nut pouches buy 8
556,nuts seeds,snacks,beechnut,"Beech-Nut snacks, select varieties",nan,beech nut snacks select varieties
557,nuts seeds,snacks,beechnut,"Beech-Nut pouches, buy 8",nan,beech nut pouches buy 8
558,cookies,snacks,beechnut,"Beech-Nut snacks, select varieties",nan,beech nut snacks select varieties
559,cookies,snacks,beechnut,"Beech-Nut pouches, buy 8",nan,beech nut pouches buy 8
560,fruit vegetable snacks,snacks,beechnut,"Beech-Nut snacks, select varieties",nan,beech nut snacks select varieties
561,fruit vegetable snacks,snacks,beechnut,"Beech-Nut pouches, buy 8",nan,beech nut pouches buy 8
562,crackers,snacks,glad,"Glad® Trash Bags, 4 OR 8 Gallon",nan,glad trash bags 4 or 8 gallon
563,crackers,snacks,glad,Glad® ForceFlex Max Strength Trash Bags,nan,glad forceflex max strength trash bags
564,household supplies,household supplies,glad,"Glad® Trash Bags, 4 OR 8 Gallon",nan,glad trash bags 4 or 8 gallon
565,household supplies,household supplies,glad,Glad® ForceFlex Max Strength Trash Bags,nan,glad forceflex max strength trash bags
566,food storage,household supplies,glad,"Glad® Trash Bags, 4 OR 8 Gallon",nan,glad trash bags 4 or 8 gallon
567,food storage,household supplies,glad,Glad® ForceFlex Max Strength Trash Bags,nan,glad forceflex max strength trash bags
568,prepared meals,deli bakery,glad,"Glad® Trash Bags, 4 OR 8 Gallon",nan,glad trash bags 4 or 8 gallon
569,prepared meals,deli bakery,glad,Glad® ForceFlex Max Strength Trash Bags,nan,glad forceflex max strength trash bags
570,beer,alcohol,coors light,"Molson Coors®, select varieties, 12 pack+",nan,molson coors select varieties 12 pack
571,makeup,beauty,coors light,"Molson Coors®, select varieties, 12 pack+",nan,molson coors select varieties 12 pack
572,beer,alcohol,sol cerveza,Sol® 6 pack+,nan,sol 6 pack
573,sexual health,health wellness,durex,"Durex® Massage & Play 2 in 1 Pleasure Gel, select varieties, at Walmart or Target",target,durex massage play 2 in 1 pleasure gel select varieties at walmart or target
574,medicines treatments,health wellness,durex,"Durex® Massage & Play 2 in 1 Pleasure Gel, select varieties, at Walmart or Target",target,durex massage play 2 in 1 pleasure gel select varieties at walmart or target
575,malt beverages,alcohol,simply spiked,Simply Spiked™ Lemonade 12 pack+,nan,simply spiked lemonade 12 pack
576,malt beverages,alcohol,simply spiked,"Simply Spiked™ Signature Peach 12-pack or larger, buy 2",nan,simply spiked signature peach 12 pack or larger buy 2
577,malt beverages,alcohol,simply spiked,Simply Spiked™ 12 pack+,nan,simply spiked 12 pack
578,malt beverages,alcohol,simply spiked,Simply Spiked™ Signature Peach 12 pack+,nan,simply spiked signature peach 12 pack
579,hard seltzers sodas waters lemonades teas,alcohol,simply spiked,Simply Spiked™ Lemonade 12 pack+,nan,simply spiked lemonade 12 pack
580,hard seltzers sodas waters lemonades teas,alcohol,simply spiked,"Simply Spiked™ Signature Peach 12-pack or larger, buy 2",nan,simply spiked signature peach 12 pack or larger buy 2
581,hard seltzers sodas waters lemonades teas,alcohol,simply spiked,Simply Spiked™ 12 pack+,nan,simply spiked 12 pack
582,hard seltzers sodas waters lemonades teas,alcohol,simply spiked,Simply Spiked™ Signature Peach 12 pack+,nan,simply spiked signature peach 12 pack
583,malt beverages,alcohol,vizzy,"Coors Light®, Miller Lite® OR VIZZY™ 12 pack+",nan,coors light miller lite or vizzy 12 pack
584,malt beverages,alcohol,vizzy,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 4",nan,coors light miller lite or vizzy 12 packs buy 4
585,malt beverages,alcohol,vizzy,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 2",nan,coors light miller lite or vizzy 12 packs buy 2
586,malt beverages,alcohol,vizzy,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 3",nan,coors light miller lite or vizzy 12 packs buy 3
587,malt beverages,alcohol,vizzy,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 5",nan,coors light miller lite or vizzy 12 packs buy 5
588,hard seltzers sodas waters lemonades teas,alcohol,vizzy,"Coors Light®, Miller Lite® OR VIZZY™ 12 pack+",nan,coors light miller lite or vizzy 12 pack
589,hard seltzers sodas waters lemonades teas,alcohol,vizzy,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 4",nan,coors light miller lite or vizzy 12 packs buy 4
590,hard seltzers sodas waters lemonades teas,alcohol,vizzy,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 2",nan,coors light miller lite or vizzy 12 packs buy 2
591,hard seltzers sodas waters lemonades teas,alcohol,vizzy,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 3",nan,coors light miller lite or vizzy 12 packs buy 3
592,hard seltzers sodas waters lemonades teas,alcohol,vizzy,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 5",nan,coors light miller lite or vizzy 12 packs buy 5
593,malt beverages,alcohol,tgi fridays,Spend $60 at TGI Friday's,tgi fridays,spend 60 at tgi fridays
594,malt beverages,alcohol,tgi fridays,Spend $35 at TGI Friday's,tgi fridays,spend 35 at tgi fridays
595,malt beverages,alcohol,tgi fridays,Spend $45 at TGI Friday's,tgi fridays,spend 45 at tgi fridays
596,malt beverages,alcohol,tgi fridays,Spend $25 at TGI Friday's,tgi fridays,spend 25 at tgi fridays
597,spirits,alcohol,tgi fridays,Spend $60 at TGI Friday's,tgi fridays,spend 60 at tgi fridays
598,spirits,alcohol,tgi fridays,Spend $35 at TGI Friday's,tgi fridays,spend 35 at tgi fridays
599,spirits,alcohol,tgi fridays,Spend $45 at TGI Friday's,tgi fridays,spend 45 at tgi fridays
600,spirits,alcohol,tgi fridays,Spend $25 at TGI Friday's,tgi fridays,spend 25 at tgi fridays
601,frozen appetizers,frozen,tgi fridays,Spend $60 at TGI Friday's,tgi fridays,spend 60 at tgi fridays
602,frozen appetizers,frozen,tgi fridays,Spend $35 at TGI Friday's,tgi fridays,spend 35 at tgi fridays
603,frozen appetizers,frozen,tgi fridays,Spend $45 at TGI Friday's,tgi fridays,spend 45 at tgi fridays
604,frozen appetizers,frozen,tgi fridays,Spend $25 at TGI Friday's,tgi fridays,spend 25 at tgi fridays
605,hard seltzers sodas waters lemonades teas,alcohol,topo chico hard seltzer,"Molson Coors®, select varieties, 12 Pack+, buy 2",nan,molson coors select varieties 12 pack buy 2
606,household supplies,household supplies,snuggle,"Snuggle® Liquid Fabric Softener, at Walmart",walmart,snuggle liquid fabric softener at walmart
607,household supplies,household supplies,brita,Brita® Pitcher AND Filter,nan,brita pitcher and filter
608,household supplies,household supplies,brita,Brita® Standard OR Elite Filters,nan,brita standard or elite filters
609,household supplies,household supplies,brita,Brita® Pitcher OR Dispenser,nan,brita pitcher or dispenser
610,water,beverages,brita,Brita® Pitcher AND Filter,nan,brita pitcher and filter
611,water,beverages,brita,Brita® Standard OR Elite Filters,nan,brita standard or elite filters
612,water,beverages,brita,Brita® Pitcher OR Dispenser,nan,brita pitcher or dispenser
613,drink mixes,beverages,bai,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",walmart,bai antioxidant 6 pack buy 2 at walmart
614,drink mixes,beverages,bai,"Bai® Antioxidant, 6 pack, at Walmart",walmart,bai antioxidant 6 pack at walmart
615,tea,beverages,bai,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",walmart,bai antioxidant 6 pack buy 2 at walmart
616,tea,beverages,bai,"Bai® Antioxidant, 6 pack, at Walmart",walmart,bai antioxidant 6 pack at walmart
617,water,beverages,bai,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",walmart,bai antioxidant 6 pack buy 2 at walmart
618,water,beverages,bai,"Bai® Antioxidant, 6 pack, at Walmart",walmart,bai antioxidant 6 pack at walmart
619,fruit juices,beverages,bai,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",walmart,bai antioxidant 6 pack buy 2 at walmart
620,fruit juices,beverages,bai,"Bai® Antioxidant, 6 pack, at Walmart",walmart,bai antioxidant 6 pack at walmart
621,jerky dried meat,snacks,jack links,"Jack Link's®, select varieties",nan,jack links select varieties
622,milk,dairy,promised land dairy,"Promised Land Dairy Milk, 52-ounce",nan,promised land dairy milk 52 ounce
623,wine,alcohol,andre,"André® California, Champagne OR Sparkling Wines, 750mL bottle",nan,andr california champagne or sparkling wines 750ml bottle
624,wine,alcohol,alamos,"Wine from TheBarrelRoom.com, spend $30",gallocom,wine from thebarrelroomcom spend 30
625,wine,alcohol,entenmanns,Little Bites® Spend $10 at Walmart®,walmart,little bites spend 10 at walmart
626,cookies,snacks,entenmanns,Little Bites® Spend $10 at Walmart®,walmart,little bites spend 10 at walmart
627,bakery,deli bakery,entenmanns,Little Bites® Spend $10 at Walmart®,walmart,little bites spend 10 at walmart
628,snack cakes,snacks,entenmanns,Little Bites® Spend $10 at Walmart®,walmart,little bites spend 10 at walmart
629,bread,pantry,thomas,"Thomas'® Bagel Thins®, buy 2",nan,thomas bagel thins buy 2
630,bread,pantry,thomas,"Thomas'®, select varieties, spend $10",nan,thomas select varieties spend 10
631,bread,pantry,thomas,Thomas'® Bagel Thins,nan,thomas bagel thins
632,bakery,deli bakery,thomas,"Thomas'® Bagel Thins®, buy 2",nan,thomas bagel thins buy 2
633,bakery,deli bakery,thomas,"Thomas'®, select varieties, spend $10",nan,thomas select varieties spend 10
634,bakery,deli bakery,thomas,Thomas'® Bagel Thins,nan,thomas bagel thins
635,frozen breakfast,frozen,thomas,"Thomas'® Bagel Thins®, buy 2",nan,thomas bagel thins buy 2
636,frozen breakfast,frozen,thomas,"Thomas'®, select varieties, spend $10",nan,thomas select varieties spend 10
637,frozen breakfast,frozen,thomas,Thomas'® Bagel Thins,nan,thomas bagel thins
638,bread,pantry,ball park pop ups,"BallPark® buns, buy 2",nan,ballpark buns buy 2
639,bakery,deli bakery,ball park pop ups,"BallPark® buns, buy 2",nan,ballpark buns buy 2
640,bread,pantry,arnold brownberry oroweat,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",walmart,arnold brownberry oroweat small slice bread at walmart
641,bread,pantry,arnold brownberry oroweat,"Arnold, Brownberry, Oroweat® Keto bread, buy 2",nan,arnold brownberry oroweat keto bread buy 2
642,bread,pantry,arnold brownberry oroweat,Arnold® Grains Almighty,nan,arnold grains almighty
643,bakery,deli bakery,arnold brownberry oroweat,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",walmart,arnold brownberry oroweat small slice bread at walmart
644,bakery,deli bakery,arnold brownberry oroweat,"Arnold, Brownberry, Oroweat® Keto bread, buy 2",nan,arnold brownberry oroweat keto bread buy 2
645,bakery,deli bakery,arnold brownberry oroweat,Arnold® Grains Almighty,nan,arnold grains almighty
646,prepared meals,deli bakery,arnold brownberry oroweat,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",walmart,arnold brownberry oroweat small slice bread at walmart
647,prepared meals,deli bakery,arnold brownberry oroweat,"Arnold, Brownberry, Oroweat® Keto bread, buy 2",nan,arnold brownberry oroweat keto bread buy 2
648,prepared meals,deli bakery,arnold brownberry oroweat,Arnold® Grains Almighty,nan,arnold grains almighty
649,bread,pantry,bimbo,"Bimbo® sweet baked goods, buy 2",nan,bimbo sweet baked goods buy 2
650,cookies,snacks,bimbo,"Bimbo® sweet baked goods, buy 2",nan,bimbo sweet baked goods buy 2
651,bakery,deli bakery,bimbo,"Bimbo® sweet baked goods, buy 2",nan,bimbo sweet baked goods buy 2
652,snack cakes,snacks,bimbo,"Bimbo® sweet baked goods, buy 2",nan,bimbo sweet baked goods buy 2
653,bread,pantry,sara lee artesano,"Artesano® buns, buy 2 at Walmart®",walmart,artesano buns buy 2 at walmart
654,bakery,deli bakery,sara lee artesano,"Artesano® buns, buy 2 at Walmart®",walmart,artesano buns buy 2 at walmart
655,bread,pantry,bays,Bays® English Muffins,nan,bays english muffins
656,bread,pantry,alfaros,"Sara Lee® or Alfaros® Artesano bread, buy 5",nan,sara lee or alfaros artesano bread buy 5
657,bread,pantry,alfaros,"Sara Lee® or Alfaros® Artesano bread, spend $8",nan,sara lee or alfaros artesano bread spend 8
658,bread,pantry,alfaros,"Sara Lee® or Alfaros® Artesano bread, buy 2",nan,sara lee or alfaros artesano bread buy 2
659,bread,pantry,alfaros,"Sara Lee® or Alfaros® Artesano bread, spend $20",nan,sara lee or alfaros artesano bread spend 20
660,bakery,deli bakery,alfaros,"Sara Lee® or Alfaros® Artesano bread, buy 5",nan,sara lee or alfaros artesano bread buy 5
661,bakery,deli bakery,alfaros,"Sara Lee® or Alfaros® Artesano bread, spend $8",nan,sara lee or alfaros artesano bread spend 8
662,bakery,deli bakery,alfaros,"Sara Lee® or Alfaros® Artesano bread, buy 2",nan,sara lee or alfaros artesano bread buy 2
663,bakery,deli bakery,alfaros,"Sara Lee® or Alfaros® Artesano bread, spend $20",nan,sara lee or alfaros artesano bread spend 20
664,bread,pantry,rustik oven,The Rustik Oven® bread,nan,the rustik oven bread
665,chips,snacks,bugles,"General Mills™ snacks, select brands, spend $10",nan,general mills snacks select brands spend 10
666,chips,snacks,natuchips,NatuChips® Plantain Chips,nan,natuchips plantain chips
667,nuts seeds,snacks,perfect keto,"Perfect Keto Barista Blend Collagen & MCTs, online at Amazon",amazon,perfect keto barista blend collagen mcts online at amazon
668,nuts seeds,snacks,perfect keto,"Perfect Keto Beauty + Sleep Collagen, online at Amazon",amazon,perfect keto beauty sleep collagen online at amazon
669,nuts seeds,snacks,perfect keto,"Perfect Keto Bars, online at Amazon",amazon,perfect keto bars online at amazon
670,nuts seeds,snacks,perfect keto,"Perfect Keto Collagen Peptides, online at Amazon",amazon,perfect keto collagen peptides online at amazon
671,nuts seeds,snacks,perfect keto,"Perfect Keto MCT Oil Powder, online at Amazon",amazon,perfect keto mct oil powder online at amazon
672,nuts seeds,snacks,perfect keto,"Perfect Keto Super Reds, online at Amazon",amazon,perfect keto super reds online at amazon
673,nuts seeds,snacks,perfect keto,"Perfect Keto Exogenous Ketones Powder, online at Amazon",amazon,perfect keto exogenous ketones powder online at amazon
674,medicines treatments,health wellness,perfect keto,"Perfect Keto Barista Blend Collagen & MCTs, online at Amazon",amazon,perfect keto barista blend collagen mcts online at amazon
675,medicines treatments,health wellness,perfect keto,"Perfect Keto Beauty + Sleep Collagen, online at Amazon",amazon,perfect keto beauty sleep collagen online at amazon
676,medicines treatments,health wellness,perfect keto,"Perfect Keto Bars, online at Amazon",amazon,perfect keto bars online at amazon
677,medicines treatments,health wellness,perfect keto,"Perfect Keto Collagen Peptides, online at Amazon",amazon,perfect keto collagen peptides online at amazon
678,medicines treatments,health wellness,perfect keto,"Perfect Keto MCT Oil Powder, online at Amazon",amazon,perfect keto mct oil powder online at amazon
679,medicines treatments,health wellness,perfect keto,"Perfect Keto Super Reds, online at Amazon",amazon,perfect keto super reds online at amazon
680,medicines treatments,health wellness,perfect keto,"Perfect Keto Exogenous Ketones Powder, online at Amazon",amazon,perfect keto exogenous ketones powder online at amazon
681,cookies,snacks,brownie brittle,"Brownie Brittle® Snacks, select varieties, buy 2",nan,brownie brittle snacks select varieties buy 2
682,bakery,deli bakery,brownie brittle,"Brownie Brittle® Snacks, select varieties, buy 2",nan,brownie brittle snacks select varieties buy 2
683,cookies,snacks,emmys pop up,Emmy's Organics® Cookies OR Brownie Snaps,nan,emmys organics cookies or brownie snaps
684,deodorant antiperspirant,health wellness,degree,Degree for Men OR Women Dry Spray,nan,degree for men or women dry spray
685,deodorant antiperspirant,health wellness,dove,"Dove Hand Wash, select varieties, buy 2 at Target",target,dove hand wash select varieties buy 2 at target
686,deodorant antiperspirant,health wellness,dove,"Dove Hand Wash, select varieties at Target",target,dove hand wash select varieties at target
687,hair care,health wellness,dove,"Dove Hand Wash, select varieties, buy 2 at Target",target,dove hand wash select varieties buy 2 at target
688,hair care,health wellness,dove,"Dove Hand Wash, select varieties at Target",target,dove hand wash select varieties at target
689,makeup,beauty,dove,"Dove Hand Wash, select varieties, buy 2 at Target",target,dove hand wash select varieties buy 2 at target
690,makeup,beauty,dove,"Dove Hand Wash, select varieties at Target",target,dove hand wash select varieties at target
691,bath body,health wellness,dove,"Dove Hand Wash, select varieties, buy 2 at Target",target,dove hand wash select varieties buy 2 at target
692,bath body,health wellness,dove,"Dove Hand Wash, select varieties at Target",target,dove hand wash select varieties at target
693,cheese,dairy,sargento,"Sargento Sliced Cheese, spend $25",nan,sargento sliced cheese spend 25
694,cheese,dairy,sargento,"Sargento Sliced Cheese, spend $12",nan,sargento sliced cheese spend 12
695,cheese,dairy,sargento,"Sargento® products, select varieties",nan,sargento products select varieties
696,cheese,dairy,sargento,"Sargento® products, select varieties, buy 3",nan,sargento products select varieties buy 3
697,cheese,dairy,sargento,"Sargento Sliced Cheese, spend $18",nan,sargento sliced cheese spend 18
698,cheese,dairy,sargento,Sargento Product,nan,sargento product
699,skin care,health wellness,burts bees,"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",walmart,burts bees sensitive lotions and creams select varieties at walmart
700,skin care,health wellness,burts bees,"Burt's Bee's® Facial Wipes, select varieties, 30 count at Walmart",walmart,burts bees facial wipes select varieties 30 count at walmart
701,skin care,health wellness,burts bees,"Burt's Bees® products, select varieties, at Walmart",walmart,burts bees products select varieties at walmart
702,skin care,health wellness,burts bees,"Burt's Bees® Sensitive Lotions and Creams, select varieties, at Walmart",walmart,burts bees sensitive lotions and creams select varieties at walmart
703,makeup,beauty,burts bees,"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",walmart,burts bees sensitive lotions and creams select varieties at walmart
704,makeup,beauty,burts bees,"Burt's Bee's® Facial Wipes, select varieties, 30 count at Walmart",walmart,burts bees facial wipes select varieties 30 count at walmart
705,makeup,beauty,burts bees,"Burt's Bees® products, select varieties, at Walmart",walmart,burts bees products select varieties at walmart
706,makeup,beauty,burts bees,"Burt's Bees® Sensitive Lotions and Creams, select varieties, at Walmart",walmart,burts bees sensitive lotions and creams select varieties at walmart
707,hair removal,health wellness,burts bees,"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",walmart,burts bees sensitive lotions and creams select varieties at walmart
